product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
しょうが焼き弁当,670,https://www.hottomotto.com/files/menu_img/sp_1264.jpg?id=5845,701kcal,23.7g,23.9g,101.9g,93.9g,8.0g,3.2g,https://www.hottomotto.com/menu_list/view/13/1264
カレー,590,https://www.hottomotto.com/files/menu_img/sp_1132.jpg?id=5845,468kcal,10.4g,3.9g,101.4g,94.5g,6.9g,3.1g,https://www.hottomotto.com/menu_list/view/13/1132
しょうが焼き＆から揚　おかずのみ,820,https://www.hottomotto.com/files/menu_img/sp_1046.jpg?id=5845,606kcal,37.8g,35.3g,36.2g,31.8g,4.4g,5.0g,https://www.hottomotto.com/menu_list/view/13/1046
オードブル,2200,https://www.hottomotto.com/files/menu_img/sp_230.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/230
ほっとチキン,230,https://www.hottomotto.com/files/menu_img/sp_1183.jpg?id=5845,212kcal,12.3g,13.3g,11.1g,10.4g,0.7g,1.8g,https://www.hottomotto.com/menu_list/view/13/1183
ロースかつ丼,650,https://www.hottomotto.com/files/menu_img/sp_1149.jpg?id=5845,812kcal,34.3g,26.0g,113.6g,106.8g,6.8g,4.3g,https://www.hottomotto.com/menu_list/view/13/1149
おろしチキン竜田弁当,670,https://www.hottomotto.com/files/menu_img/sp_1268.jpg?id=5845,905kcal,22.7g,39.4g,117.7g,110.7g,7.0g,3.7g,https://www.hottomotto.com/menu_list/view/13/1268
特製ナポリタン弁当,550,https://www.hottomotto.com/files/menu_img/sp_1293.jpg?id=5845,751kcal,29.1g,23.0g,113.6g,104.5g,9.1g,3.2g,https://www.hottomotto.com/menu_list/view/13/1293
夏のよくばり牛カレールー,570,https://www.hottomotto.com/files/menu_img/sp_1242.jpg?id=5845,241kcal,7.4g,15.7g,17.8g,16.5g,1.3g,1.9g,https://www.hottomotto.com/menu_list/view/13/1242
牛焼肉＆から揚弁当,970,https://www.hottomotto.com/files/menu_img/sp_1258.jpg?id=5845,918kcal,36.2g,39.2g,109.4g,100.3g,9.1g,4.5g,https://www.hottomotto.com/menu_list/view/13/1258
チーズハンバーグ弁当,800,https://www.hottomotto.com/files/menu_img/sp_1271.jpg?id=5845,707kcal,24.6g,21.0g,109.9g,100.7g,9.2g,3.7g,https://www.hottomotto.com/menu_list/view/13/1271
スポーツ弁当　バラエティ,730,https://www.hottomotto.com/files/menu_img/sp_1206.jpg?id=5845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.hottomotto.com/menu_list/view/13/1206
もちミニ 海鮮天丼,620,https://www.hottomotto.com/files/menu_img/sp_1226.jpg?id=5845,655kcal,15.9g,19.5g,107.3g,99.8g,7.5g,2.7g,https://www.hottomotto.com/menu_list/view/13/1226
もちミニ®しゃけ弁当,590,https://www.hottomotto.com/files/menu_img/sp_1126.jpg?id=5845,487kcal,17.3g,12.7g,79.0g,73.1g,5.9g,2.2g,https://www.hottomotto.com/menu_list/view/13/1126
温玉付き焼鳥つくね重,730,https://www.hottomotto.com/files/menu_img/sp_1289.jpg?id=5845,702kcal,34.6g,23.7g,92.1g,85.3g,6.8g,3.4g,https://www.hottomotto.com/menu_list/view/13/1289
デミグラスハンバーグ弁当,720,https://www.hottomotto.com/files/menu_img/sp_1269.jpg?id=5845,655kcal,23.2g,15.7g,109.5g,100.3g,9.2g,2.8g,https://www.hottomotto.com/menu_list/view/13/1269
